date,Industrial aggregate including unclassified businesses 6 7,Industrial aggregate excluding unclassified businesses 6 7,Goods producing industries 8,"Forestry, logging and support 9","Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Service producing industries 10,Trade 11,Transportation and warehousing,Information and cultural industries,Finance and insurance,Real estate and rental and leasing,"Professional, scientific and technical services",Management of companies and enterprises,"Administrative and support, waste management and remediation services",Educational services,Health care and social assistance,"Arts, entertainment and recreation",Accommodation and food services,Other services (except public administration),Public administration,Unclassified businesses 7
Jan-10,"14,303,330","14,076,045","2,459,709","34,569","170,995","115,474","716,909","1,421,762","11,616,336","2,588,773","652,068","326,214","683,626","248,667","747,067","112,092","691,169","1,195,583","1,615,777","216,122","1,030,641","493,877","1,014,659","227,285"
Feb-10,"14,351,994","14,122,061","2,490,726","35,487","178,700","114,792","724,739","1,437,007","11,631,335","2,532,080","653,275","326,621","679,647","244,246","751,043","106,883","706,951","1,249,375","1,615,728","218,644","1,030,969","495,156","1,020,717","229,933"
Mar-10,"14,402,242","14,163,528","2,507,671","34,797","179,098","114,693","739,610","1,439,474","11,655,857","2,526,291","653,248","329,390","677,062","243,114","754,957","105,941","708,873","1,252,342","1,625,395","220,941","1,031,790","500,252","1,026,261","238,714"
Apr-10,"14,540,918","14,295,917","2,555,420","31,750","177,906","116,230","776,244","1,453,290","11,740,497","2,564,882","653,967","329,974","679,460","245,162","758,713","107,053","719,609","1,245,611","1,628,746","234,614","1,036,229","506,068","1,030,408","245,001"
May-10,"14,774,410","14,516,652","2,658,253","36,043","180,486","118,408","836,694","1,486,622","11,858,399","2,597,545","655,412","332,232","681,332","247,853","765,037","107,759","731,685","1,224,493","1,629,547","251,741","1,071,627","510,268","1,051,867","257,758"
Jun-10,"15,036,935","14,759,920","2,739,022","44,137","185,824","120,815","875,047","1,513,199","12,020,898","2,619,827","667,633","335,104","687,768","255,432","771,672","108,848","748,531","1,202,311","1,650,965","270,522","1,108,718","518,153","1,075,414","277,014"
Jul-10,"14,852,036","14,561,243","2,755,553","47,931","191,405","120,933","879,851","1,515,432","11,805,690","2,623,477","655,721","336,682","687,317","256,325","767,897","108,489","753,179","943,309","1,661,535","283,855","1,122,047","518,849","1,087,008","290,792"
Aug-10,"14,630,995","14,336,914","2,748,308","46,267","192,390","119,487","896,670","1,493,495","11,588,606","2,602,215","649,528","338,664","682,380","253,340","762,710","108,237","748,009","811,942","1,656,252","280,564","1,105,367","512,802","1,076,595","294,081"
Sep-10,"14,958,547","14,653,557","2,765,346","45,772","194,953","118,843","902,576","1,503,202","11,888,211","2,606,859","668,025","340,363","680,909","253,387","761,190","108,376","752,255","1,104,190","1,657,800","270,463","1,109,831","514,762","1,059,802","304,990"
Oct-10,"15,002,276","14,700,701","2,744,594","42,908","194,993","118,414","895,836","1,492,443","11,956,106","2,617,785","664,801","343,707","684,771","251,598","761,153","106,199","750,352","1,225,902","1,650,644","248,926","1,086,756","515,301","1,048,212","301,575"
Nov-10,"14,945,157","14,654,390","2,711,743","40,021","193,635","118,320","878,435","1,481,333","11,942,647","2,637,445","663,369","340,991","688,084","253,509","765,244","104,433","741,491","1,249,458","1,652,790","223,860","1,067,042","515,394","1,039,536","290,766"
Dec-10,"15,064,273","14,772,725","2,685,473","38,809","199,553","120,513","834,634","1,491,964","12,087,252","2,692,396","671,706","347,161","685,173","261,145","779,704","107,551","738,941","1,271,464","1,676,799","222,790","1,070,493","519,343","1,042,586","291,548"
Jan-11,"14,566,758","14,293,722","2,541,042","35,532","199,248","118,249","746,174","1,441,838","11,752,680","2,608,035","659,839","341,440","677,918","251,697","761,307","103,009","708,130","1,207,659","1,653,618","217,774","1,041,495","503,337","1,017,423","273,036"
Feb-11,"14,620,012","14,364,178","2,583,773","36,108","208,531","119,471","760,182","1,459,481","11,780,405","2,562,654","660,933","339,247","682,613","251,985","771,259","101,836","713,766","1,252,317","1,646,965","221,073","1,040,224","505,884","1,029,649","255,834"
Mar-11,"14,675,717","14,416,630","2,600,919","35,408","208,599","118,948","772,461","1,465,503","11,815,711","2,557,249","660,026","338,693","679,724","249,939","776,356","101,026","715,941","1,256,893","1,662,776","221,963","1,048,734","509,959","1,036,431","259,088"
Apr-11,"14,795,634","14,531,715","2,647,089","32,123","205,030","120,569","800,978","1,488,389","11,884,626","2,574,479","665,700","337,114","683,603","249,255","780,308","101,682","726,929","1,251,810","1,668,656","230,577","1,063,788","514,287","1,036,440","263,919"
May-11,"15,002,586","14,722,232","2,720,870","33,521","200,829","126,027","851,650","1,508,842","12,001,362","2,600,668","667,125","338,085","684,117","251,954","786,410","102,502","744,999","1,216,487","1,669,772","251,590","1,094,222","517,033","1,076,395","280,355"
Jun-11,"15,312,302","15,012,628","2,816,915","43,398","205,615","126,229","906,739","1,534,935","12,195,713","2,637,166","681,831","342,016","692,466","261,226","794,372","105,865","761,013","1,193,406","1,686,627","274,614","1,131,137","527,218","1,106,758","299,674"
Jul-11,"15,083,573","14,775,399","2,832,056","47,495","206,622","126,473","918,274","1,533,192","11,943,343","2,630,950","669,206","343,524","690,855","259,134","793,250","105,481","762,352","920,929","1,699,977","286,641","1,142,203","530,514","1,108,327","308,174"
Aug-11,"14,894,109","14,585,149","2,814,319","47,180","205,583","125,292","923,624","1,512,640","11,770,830","2,617,702","668,855","342,894","685,798","257,530","790,842","105,727","759,320","811,623","1,696,176","281,234","1,139,959","527,564","1,085,605","308,960"
Sep-11,"15,224,400","14,905,158","2,847,468","46,240","209,599","124,025","940,717","1,526,888","12,057,690","2,624,568","683,574","344,364","684,730","257,394","790,387","104,062","762,935","1,096,004","1,698,236","276,437","1,145,027","528,997","1,060,973","319,241"
Oct-11,"15,222,462","14,907,306","2,813,640","43,549","210,240","125,341","928,792","1,505,717","12,093,666","2,622,018","684,455","343,707","682,838","252,263","788,314","104,311","758,555","1,220,726","1,688,931","254,145","1,122,528","527,287","1,043,589","315,156"
Nov-11,"15,212,064","14,916,554","2,798,230","41,646","210,267","126,087","915,667","1,504,564","12,118,324","2,655,267","684,048","343,481","684,729","252,474","793,620","106,573","752,327","1,241,506","1,696,457","231,857","1,107,930","529,649","1,038,408","295,510"
Dec-11,"15,268,812","14,983,452","2,760,246","39,945","214,448","124,869","871,792","1,509,192","12,223,206","2,694,862","695,115","344,969","691,036","256,205","806,027","108,620","750,543","1,249,491","1,711,846","227,879","1,113,059","529,768","1,043,787","285,360"
Jan-12,"14,771,558","14,506,758","2,603,581","35,370","207,136","121,317","776,460","1,463,298","11,903,176","2,615,961","676,981","340,685","693,015","247,422","794,698","106,127","717,809","1,193,298","1,687,184","221,647","1,079,952","510,011","1,018,386","264,800"
Feb-12,"14,801,839","14,550,340","2,632,926","35,856","214,597","120,804","794,235","1,467,433","11,917,414","2,560,081","677,265","339,246","689,579","245,831","798,742","104,790","715,123","1,257,071","1,686,478","224,842","1,075,311","513,671","1,029,383","251,499"
Mar-12,"14,884,360","14,628,287","2,660,821","35,375","217,875","121,516","809,152","1,476,903","11,967,466","2,563,871","675,526","344,437","689,067","246,795","794,357","105,623","721,751","1,265,472","1,695,031","228,258","1,085,518","518,093","1,033,666","256,073"
Apr-12,"15,016,128","14,753,213","2,698,961","31,679","214,926","120,728","843,531","1,488,096","12,054,253","2,597,782","678,067","342,752","689,310","247,000","801,617","109,371","734,564","1,257,935","1,701,156","236,369","1,108,008","519,224","1,031,099","262,915"
May-12,"15,345,076","15,071,017","2,823,265","35,117","216,842","124,587","916,040","1,530,680","12,247,751","2,647,430","689,275","346,165","692,569","256,652","814,946","113,105","763,452","1,226,196","1,711,523","257,675","1,144,945","529,215","1,054,604","274,059"
Jun-12,"15,599,092","15,305,437","2,899,737","45,434","224,259","124,379","957,386","1,548,280","12,405,700","2,673,325","699,152","347,959","700,489","261,723","825,225","117,171","777,242","1,206,026","1,725,734","275,681","1,179,175","535,917","1,080,880","293,655"
Jul-12,"15,360,030","15,063,402","2,908,372","48,153","224,187","124,810","966,734","1,544,488","12,155,031","2,675,638","690,697","347,788","695,706","262,592","823,668","117,204","780,579","932,448","1,737,262","288,922","1,187,071","536,898","1,078,559","296,627"
Aug-12,"15,225,717","14,941,087","2,911,213","45,212","228,414","123,528","979,071","1,534,988","12,029,875","2,668,320","689,681","351,659","692,852","263,445","817,010","116,755","782,266","830,056","1,735,741","285,099","1,187,864","536,773","1,072,354","284,629"
Sep-12,"15,470,573","15,188,126","2,902,298","42,972","227,281","122,024","985,725","1,524,295","12,285,828","2,663,795","710,632","349,512","691,427","260,665","811,609","115,976","776,576","1,138,402","1,728,989","272,418","1,180,993","533,220","1,051,614","282,447"
Oct-12,"15,474,012","15,198,684","2,891,264","40,539","226,913","122,622","982,181","1,519,008","12,307,421","2,660,642","708,665","342,184","690,492","259,370","810,074","110,792","774,843","1,243,093","1,726,370","252,437","1,159,773","533,108","1,035,577","275,328"
Nov-12,"15,472,765","15,204,100","2,864,998","39,290","227,036","122,323","966,300","1,510,049","12,339,103","2,693,044","706,958","341,433","692,712","258,539","814,413","110,797","771,222","1,270,224","1,731,152","233,248","1,146,649","535,209","1,033,503","268,665"
Dec-12,"15,471,955","15,210,959","2,819,001","37,534","225,320","120,405","925,028","1,510,713","12,391,959","2,714,726","711,304","343,889","699,750","259,774","822,263","110,760","761,828","1,279,428","1,739,416","229,015","1,146,454","538,237","1,035,115","260,995"
Jan-13,"15,020,413","14,774,302","2,671,184","34,003","222,015","117,923","827,975","1,469,269","12,103,118","2,652,883","694,601","341,170","698,472","255,443","801,869","105,613","725,539","1,227,107","1,730,200","224,894","1,113,734","520,118","1,011,476","246,110"
Feb-13,"15,073,687","14,835,195","2,708,091","34,605","228,924","119,585","850,386","1,474,591","12,127,104","2,617,783","691,234","337,937","691,933","257,671","808,458","105,012","726,580","1,283,942","1,719,897","228,805","1,112,460","525,012","1,020,381","238,492"
Mar-13,"15,133,939","14,902,312","2,724,865","34,310","226,152","118,284","865,387","1,480,732","12,177,447","2,621,782","692,345","338,778","691,513","261,416","809,812","105,890","733,251","1,296,180","1,723,545","229,906","1,123,660","527,364","1,022,004","231,627"
Apr-13,"15,231,272","14,990,205","2,754,344","31,146","220,500","118,583","892,292","1,491,823","12,235,861","2,633,100","693,455","343,176","692,163","262,053","814,576","106,043","738,962","1,289,402","1,729,659","232,786","1,147,188","534,071","1,019,227","241,067"
May-13,"15,492,681","15,252,259","2,848,381","33,603","222,931","119,534","949,895","1,522,417","12,403,879","2,678,598","702,998","342,708","694,392","267,266","822,146","108,381","762,465","1,253,216","1,741,175","256,969","1,191,312","538,753","1,043,499","240,422"
Jun-13,"15,669,442","15,419,017","2,889,508","42,501","225,254","120,978","967,263","1,533,512","12,529,509","2,696,337","712,311","340,466","703,416","274,770","832,066","110,117","775,942","1,229,732","1,750,776","275,653","1,217,985","542,976","1,066,962","250,425"
Jul-13,"15,490,567","15,233,745","2,928,821","44,921","225,212","120,982","1,001,408","1,536,297","12,304,924","2,695,103","702,583","340,433","706,274","276,412","830,025","109,858","781,755","949,925","1,764,530","290,693","1,231,907","547,242","1,078,184","256,822"
Aug-13,"15,402,288","15,140,478","2,941,131","44,078","228,347","119,613","1,024,627","1,524,465","12,199,347","2,694,914","699,857","340,340","705,580","277,801","828,754","105,982","792,270","850,521","1,759,201","288,311","1,235,338","546,786","1,073,692","261,811"
Sep-13,"15,637,190","15,379,649","2,922,439","42,059","228,237","118,972","1,024,380","1,508,791","12,457,209","2,694,545","719,985","340,765","697,983","274,315","826,326","106,569","792,773","1,162,647","1,756,168","274,040","1,221,096","542,080","1,047,919","257,542"
Oct-13,"15,690,865","15,434,449","2,911,303","41,051","227,818","118,316","1,018,014","1,506,104","12,523,145","2,691,900","717,230","341,867","698,759","272,805","825,194","106,944","793,201","1,286,913","1,748,978","257,122","1,200,133","543,409","1,038,690","256,417"
Nov-13,"15,639,601","15,390,392","2,872,539","39,652","226,671","117,554","997,441","1,491,222","12,517,853","2,717,265","715,861","340,876","695,486","272,434","826,763","107,404","784,624","1,312,015","1,755,770","236,236","1,174,338","542,975","1,035,805","249,208"
Dec-13,"15,663,853","15,433,784","2,822,470","37,890","230,175","116,346","945,910","1,492,149","12,611,314","2,778,948","723,745","341,901","706,248","279,022","836,034","107,115","771,072","1,304,200","1,775,307","233,155","1,175,655","544,489","1,034,424","230,069"
Jan-14,"15,203,626","14,986,716","2,674,088","34,902","219,955","115,016","847,103","1,457,112","12,312,628","2,690,248","707,463","338,294","700,944","269,350","819,850","102,855","744,115","1,257,996","1,757,861","229,905","1,147,380","529,070","1,017,298","216,910"
Feb-14,"15,212,615","15,006,197","2,718,541","35,282","230,748","116,029","873,913","1,462,569","12,287,655","2,629,316","704,300","336,295","699,154","265,890","818,238","102,080","740,751","1,310,082","1,757,408","230,925","1,139,169","530,866","1,023,183","206,419"
Mar-14,"15,261,342","15,046,411","2,719,956","34,480","231,851","116,551","878,378","1,458,696","12,326,455","2,642,721","699,986","340,099","698,715","268,642","823,250","101,787","745,984","1,312,423","1,755,064","231,315","1,145,562","533,561","1,027,344","214,932"
Apr-14,"15,341,143","15,123,286","2,741,736","31,581","227,473","118,305","897,257","1,467,121","12,381,550","2,667,066","702,277","335,288","701,721","271,632","827,929","103,372","751,920","1,303,640","1,759,386","234,805","1,158,708","537,802","1,026,004","217,857"
May-14,"15,688,997","15,464,236","2,862,830","33,240","228,371","120,054","974,681","1,506,484","12,601,406","2,725,460","716,429","338,164","706,321","279,085","839,404","105,524","786,618","1,268,399","1,773,592","260,960","1,205,174","547,846","1,048,429","224,761"
Jun-14,"15,916,456","15,691,235","2,939,635","41,279","229,196","119,217","1,024,197","1,525,746","12,751,600","2,740,705","725,147","338,570","713,660","287,109","852,554","108,046","798,791","1,249,892","1,788,026","280,620","1,238,014","555,594","1,074,872","225,221"
Jul-14,"15,711,855","15,484,147","2,961,407","44,970","234,535","119,059","1,030,792","1,532,052","12,522,740","2,743,364","717,858","342,138","710,317","288,567","852,024","108,463","797,926","959,638","1,803,244","295,632","1,251,845","559,291","1,092,431","227,708"
Aug-14,"15,580,369","15,344,731","2,970,199","44,938","236,644","117,595","1,055,219","1,515,803","12,374,532","2,736,023","705,177","341,668","709,879","289,117","854,695","106,148","801,813","856,615","1,793,634","292,799","1,253,801","554,087","1,079,076","235,639"
