Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Newfoundland and Labrador,2010,50.54,49.46,42.85,2.27,30.79,1.39,37.51,2.22,6.39,3.04,1.84,4.95,2.43,2.22,3.14,7.73,2.27,0.39,1.22,5.45,7.54,0.27,1.51,1.59,6.92
Newfoundland and Labrador,2011,54.32,45.68,46.47,2.17,34.04,1.45,41.68,1.93,6.48,2.77,1.95,4.42,2.31,2.01,2.87,7.12,2.12,0.36,1.1,4.94,6.93,0.24,1.4,1.44,6.48
Newfoundland and Labrador,2012,49.07,50.93,38.5,2.45,27.13,1.5,33.49,1.95,9.17,2.95,2.29,4.93,2.54,2.29,2.93,8.05,2.72,0.44,1.25,5.46,7.53,0.25,1.56,1.66,7.04
Newfoundland and Labrador,2013,51.26,48.74,38.94,2.03,28.53,1.59,34.2,1.81,10.85,2.82,2.16,4.89,2.39,2.11,2.82,7.99,2.62,0.38,1.16,5.11,7.11,0.24,1.57,1.52,6.68
Newfoundland and Labrador,2014,49.23,50.77,35.02,2.01,26.07,1.57,30.38,1.47,12.77,3.04,2.17,4.99,2.72,2.07,2.94,8.59,2.87,0.36,1.23,5.2,7.38,0.23,1.68,1.56,6.76
Newfoundland and Labrador,2015,41.92,58.08,25.25,2.34,15.71,2.12,18.42,2.08,14.71,4.58,2.41,5.54,3.33,2.36,3.36,9.84,3.33,0.4,1.35,5.89,8.58,0.27,1.94,1.76,7.69
Newfoundland and Labrador,2016,41.49,58.51,25.61,2.53,16.6,2.06,19.04,2.09,13.97,4.32,2.14,5.56,3.6,2.51,3.47,9.96,3.28,0.38,1.36,5.89,8.59,0.29,1.98,1.8,7.69
Newfoundland and Labrador,2017,42.85,57.15,27.98,2.48,18.85,2.08,22.01,1.98,12.93,3.85,2.16,5.43,3.48,2.4,3.43,9.72,3.13,0.38,1.26,5.72,8.49,0.28,1.95,1.76,7.56
Newfoundland and Labrador,2018,43.7,56.3,31.86,2.37,23.59,1.96,25.67,2.07,10.04,3.97,2.09,5.13,3.42,2.26,3.36,9.63,3.2,0.36,1.2,5.68,8.45,0.29,1.91,1.74,7.6
Prince Edward Island,2010,21.89,78.11,10.59,3.32,1.47,5.03,0.05,1.58,6.49,8.74,1.83,7.34,2.88,2.95,5.4,13.18,2.89,0.76,3.09,7.67,9.67,1.1,2.9,2.39,14.06
