Date,M1 Money Supply 
2010-01-01,5.11068E+11
2010-02-01,5.08947E+11
2010-03-01,5.0646E+11
2010-04-01,5.16633E+11
2010-05-01,5.27531E+11
2010-06-01,5.35932E+11
2010-07-01,5.3922E+11
2010-08-01,5.37094E+11
2010-09-01,5.41632E+11
2010-10-01,5.47137E+11
2010-11-01,5.49782E+11
2010-12-01,5.64105E+11
2011-01-01,5.54525E+11
2011-02-01,5.48287E+11
2011-03-01,5.46079E+11
2011-04-01,5.53647E+11
2011-05-01,5.58778E+11
2011-06-01,5.71525E+11
2011-07-01,5.75482E+11
2011-08-01,5.74901E+11
2011-09-01,5.89056E+11
2011-10-01,5.96638E+11
2011-11-01,5.98277E+11
2011-12-01,6.10474E+11
2012-01-01,6.08257E+11
2012-02-01,6.00912E+11
2012-03-01,5.9847E+11
2012-04-01,6.1264E+11
2012-05-01,6.21539E+11
2012-06-01,6.35387E+11
2012-07-01,6.39409E+11
2012-08-01,6.38127E+11
2012-09-01,6.38233E+11
2012-10-01,6.38632E+11
2012-11-01,6.4712E+11
2012-12-01,6.6067E+11
2013-01-01,6.5046E+11
2013-02-01,6.54416E+11
2013-03-01,6.57762E+11
2013-04-01,6.65663E+11
2013-05-01,6.68381E+11
2013-06-01,6.79645E+11
2013-07-01,6.81964E+11
2013-08-01,6.8528E+11
2013-09-01,6.89377E+11
2013-10-01,6.94076E+11
2013-11-01,7.04348E+11
2013-12-01,7.20346E+11
2014-01-01,7.14777E+11
2014-02-01,7.05469E+11
2014-03-01,7.05364E+11
2014-04-01,7.11298E+11
2014-05-01,7.19345E+11
2014-06-01,7.28308E+11
2014-07-01,7.30809E+11
2014-08-01,7.35628E+11
2014-09-01,7.42175E+11
2014-10-01,7.4996E+11
2014-11-01,7.54472E+11
2014-12-01,7.68857E+11
2015-01-01,7.56397E+11
2015-02-01,7.53522E+11
2015-03-01,7.53996E+11
2015-04-01,7.65545E+11
2015-05-01,7.7158E+11
2015-06-01,7.83033E+11
2015-07-01,7.94743E+11
2015-08-01,8.00308E+11
2015-09-01,8.08505E+11
2015-10-01,8.11421E+11
2015-11-01,8.17935E+11
2015-12-01,8.32074E+11
2016-01-01,8.25086E+11
2016-02-01,8.20504E+11
2016-03-01,8.18389E+11
2016-04-01,8.28724E+11
2016-05-01,8.36851E+11
2016-06-01,8.45995E+11
2016-07-01,8.62141E+11
2016-08-01,8.65371E+11
2016-09-01,8.77626E+11
2016-10-01,8.86089E+11
2016-11-01,8.94269E+11
2016-12-01,9.12373E+11
2017-01-01,9.0921E+11
2017-02-01,8.96319E+11
2017-03-01,9.01069E+11
2017-04-01,9.21626E+11
2017-05-01,9.33973E+11
2017-06-01,9.44222E+11
2017-07-01,9.47774E+11
2017-08-01,9.45867E+11
2017-09-01,9.51004E+11
2017-10-01,9.56526E+11
2017-11-01,9.6024E+11
2017-12-01,9.81519E+11
2018-01-01,9.63935E+11
2018-02-01,9.57611E+11
2018-03-01,9.58971E+11
2018-04-01,9.70974E+11
2018-05-01,9.70153E+11
2018-06-01,9.82216E+11
2018-07-01,9.82961E+11
2018-08-01,9.8593E+11
2018-09-01,9.94253E+11
2018-10-01,9.95647E+11
2018-11-01,1.00482E+12
2018-12-01,1.02554E+12
2019-01-01,1.00534E+12
2019-02-01,9.9368E+11
2019-03-01,9.94387E+11
2019-04-01,1.01049E+12
2019-05-01,1.02051E+12
2019-06-01,1.0306E+12
2019-07-01,1.0409E+12
