DATE,MAM2A2CAM189N
1968-01-01,25391000000
1968-02-01,25333000000
1968-03-01,25476000000
1968-04-01,26052000000
1968-05-01,26638000000
1968-06-01,26895000000
1968-07-01,27587000000
1968-08-01,28054000000
1968-09-01,28267000000
1968-10-01,28541000000
1968-11-01,28821000000
1968-12-01,29118000000
1969-01-01,29235000000
1969-02-01,28812000000
1969-03-01,29110000000
1969-04-01,29796000000
1969-05-01,30087000000
1969-06-01,30284000000
1969-07-01,30791000000
1969-08-01,30766000000
1969-09-01,31134000000
1969-10-01,31473000000
1969-11-01,31646000000
1969-12-01,31892000000
1970-01-01,31323000000
1970-02-01,31219000000
1970-03-01,31532000000
1970-04-01,32172000000.0000
1970-05-01,32462000000.0000
1970-06-01,32767000000.0000
1970-07-01,33353000000
1970-08-01,33516000000
1970-09-01,33970000000
1970-10-01,34035000000.0000
1970-11-01,34265000000
1970-12-01,34785000000
1971-01-01,34515000000
1971-02-01,34577000000
1971-03-01,35183000000
1971-04-01,35847000000
1971-05-01,36487000000
1971-06-01,37249000000
1971-07-01,37672000000
1971-08-01,38008000000
1971-09-01,38498000000
1971-10-01,38688000000
1971-11-01,38420000000
1971-12-01,38792000000
1972-01-01,38851000000
1972-02-01,38845000000
1972-03-01,39453000000
1972-04-01,40015000000
1972-05-01,40547000000
1972-06-01,40859000000
1972-07-01,41800000000
1972-08-01,41976000000
1972-09-01,42676000000
1972-10-01,43176000000
1972-11-01,43475000000
1972-12-01,43952000000
1973-01-01,44115000000
1973-02-01,44139000000
1973-03-01,44470000000
1973-04-01,45432000000
1973-05-01,46349000000
1973-06-01,46905000000
1973-07-01,48215000000
1973-08-01,48725000000
1973-09-01,49404000000
1973-10-01,50246000000
1973-11-01,51050000000
1973-12-01,52229000000
1974-01-01,52627000000
1974-02-01,52873000000
1974-03-01,53775000000
1974-04-01,55267000000
1974-05-01,57299000000
1974-06-01,57477000000
1974-07-01,59057000000
1974-08-01,59453000000
1974-09-01,60370000000
1974-10-01,61024000000
1974-11-01,60600000000
1974-12-01,60854000000
1975-01-01,61513000000
1975-02-01,61877000000
1975-03-01,62801000000
1975-04-01,64132000000.0000
1975-05-01,64815000000
1975-06-01,65527000000
1975-07-01,67156000000.0000
1975-08-01,67410000000
1975-09-01,68405000000
1975-10-01,69223000000
1975-11-01,69153000000
1975-12-01,70760000000
1976-01-01,69777000000
1976-02-01,70094000000
1976-03-01,70933000000
1976-04-01,72249000000
1976-05-01,73721000000
1976-06-01,75381000000
1976-07-01,76533000000
1976-08-01,77387000000
1976-09-01,78538000000
1976-10-01,79323000000
1976-11-01,80320000000
1976-12-01,81753000000
1977-01-01,81965000000
1977-02-01,81909000000
1977-03-01,82864000000
1977-04-01,84468000000
1977-05-01,85909000000
1977-06-01,87166000000
1977-07-01,88255000000
1977-08-01,89096000000
1977-09-01,89879000000
1977-10-01,90893000000
1977-11-01,91656000000
1977-12-01,92677000000
1978-01-01,92636000000
1978-02-01,92687000000
1978-03-01,93518000000
1978-04-01,94670000000
1978-05-01,96433000000
1978-06-01,97483000000
1978-07-01,99374000000
1978-08-01,100059000000.00000
1978-09-01,101270000000.0000
1978-10-01,102273000000.00000
1978-11-01,105395000000.00000
1978-12-01,105655000000.00000
1979-01-01,106007000000
1979-02-01,106147000000.00000
1979-03-01,106556000000.00000
1979-04-01,108900000000.000
1979-05-01,111232000000.00000
1979-06-01,112904000000.00000
1979-07-01,115699000000.00000
1979-08-01,117090000000.0000
1979-09-01,118787000000.00000
1979-10-01,120606000000.00000
1979-11-01,123123000000.00000
1979-12-01,125034000000
1980-01-01,125744000000
1980-02-01,126536000000
1980-03-01,128578000000
1980-04-01,131110000000
1980-05-01,132959000000
1980-06-01,134582000000
1980-07-01,137340000000
1980-08-01,138415000000
1980-09-01,140646000000
1980-10-01,143139000000
1980-11-01,145295000000
1980-12-01,146923000000
1981-01-01,145913000000
1981-02-01,146947000000
1981-03-01,148515000000
1981-04-01,151874000000
1981-05-01,153914000000
1981-06-01,155656000000
1981-07-01,159144000000
1981-08-01,161482000000
1981-09-01,163827000000
1981-10-01,164981000000
1981-11-01,161406000000
1981-12-01,162514000000
1982-01-01,162939000000
1982-02-01,163505000000
1982-03-01,163997000000
1982-04-01,165846000000
1982-05-01,168989000000
1982-06-01,170185000000
1982-07-01,170776000000
1982-08-01,171045000000
1982-09-01,171964000000
1982-10-01,172638000000
1982-11-01,172893000000
1982-12-01,174328000000
1983-01-01,174666000000
1983-02-01,174975000000
1983-03-01,175527000000
1983-04-01,176863000000
1983-05-01,178459000000
1983-06-01,179674000000
1983-07-01,181442000000
1983-08-01,182489000000
1983-09-01,183510000000
1983-10-01,184030000000
1983-11-01,183717000000
1983-12-01,184370000000
1984-01-01,183603000000
1984-02-01,183664000000
1984-03-01,184164000000
1984-04-01,186516000000
