date,M2 money supply
2010-01-01,9.7899E+11
2010-02-01,9.80671E+11
2010-03-01,9.79881E+11
2010-04-01,9.88935E+11
2010-05-01,9.99648E+11
2010-06-01,1.00942E+12
2010-07-01,1.01445E+12
2010-08-01,1.01481E+12
2010-09-01,1.0204E+12
2010-10-01,1.02607E+12
2010-11-01,1.0266E+12
2010-12-01,1.04105E+12
2011-01-01,1.03383E+12
2011-02-01,1.03046E+12
2011-03-01,1.03119E+12
2011-04-01,1.03854E+12
2011-05-01,1.04238E+12
2011-06-01,1.05389E+12
2011-07-01,1.05698E+12
2011-08-01,1.05932E+12
2011-09-01,1.07449E+12
2011-10-01,1.08629E+12
2011-11-01,1.0923E+12
2011-12-01,1.10813E+12
2012-01-01,1.10391E+12
2012-02-01,1.09817E+12
2012-03-01,1.09698E+12
2012-04-01,1.10845E+12
2012-05-01,1.11623E+12
2012-06-01,1.13754E+12
2012-07-01,1.14476E+12
2012-08-01,1.14557E+12
2012-09-01,1.14513E+12
2012-10-01,1.14913E+12
2012-11-01,1.15872E+12
2012-12-01,1.17341E+12
2013-01-01,1.16817E+12
2013-02-01,1.1724E+12
2013-03-01,1.18018E+12
2013-04-01,1.18837E+12
2013-05-01,1.1893E+12
2013-06-01,1.20119E+12
2013-07-01,1.20508E+12
2013-08-01,1.21411E+12
2013-09-01,1.21926E+12
2013-10-01,1.22495E+12
2013-11-01,1.23608E+12
2013-12-01,1.25379E+12
2014-01-01,1.2505E+12
2014-02-01,1.24354E+12
2014-03-01,1.24421E+12
2014-04-01,1.24935E+12
2014-05-01,1.25603E+12
2014-06-01,1.26448E+12
2014-07-01,1.26763E+12
2014-08-01,1.27657E+12
2014-09-01,1.28465E+12
2014-10-01,1.29268E+12
2014-11-01,1.29687E+12
2014-12-01,1.31259E+12
2015-01-01,1.30484E+12
2015-02-01,1.30426E+12
2015-03-01,1.30481E+12
2015-04-01,1.31428E+12
2015-05-01,1.3172E+12
2015-06-01,1.32659E+12
2015-07-01,1.34175E+12
2015-08-01,1.35126E+12
2015-09-01,1.36165E+12
2015-10-01,1.36513E+12
2015-11-01,1.37663E+12
2015-12-01,1.39171E+12
2016-01-01,1.39116E+12
2016-02-01,1.39345E+12
2016-03-01,1.39245E+12
2016-04-01,1.40595E+12
2016-05-01,1.41406E+12
2016-06-01,1.42649E+12
2016-07-01,1.44669E+12
2016-08-01,1.45376E+12
2016-09-01,1.4673E+12
2016-10-01,1.48043E+12
2016-11-01,1.49437E+12
2016-12-01,1.51163E+12
2017-01-01,1.51465E+12
2017-02-01,1.50343E+12
2017-03-01,1.51184E+12
2017-04-01,1.53052E+12
